CRIME, TIME, LOCATION, CITY
BURGLARY,1514794680000,100 BLOCK W 6TH ST,LONG BEACH
LARCENY,1514795760000,800 BLOCK ROXANNE AV,LONG BEACH
BURGLARY,1514795940000,1100 BLOCK ATLANTIC AV,LONG BEACH
LARCENY,1514797260000,400 BLOCK W 4TH ST,LONG BEACH
WEAPONS VIOLATIONS,1514798760000,1500 BLOCK CHERRY AV,LONG BEACH
VANDALISM,1514798580000,1400 BLOCK LBB,LONG BEACH
GRAND THEFT AUTO,1514797200000,1700 BLOCK XIMENO AV,LONG BEACH
BURGLARY,1514805360000,3600 BLOCK ATLANTIC AV,LONG BEACH
VANDALISM,1514805900000,700 BLOCK GAVIOTA AV,LONG BEACH
LARCENY,1514804820000,1300 BLOCK REDONDO AV,LONG BEACH
GRAND THEFT AUTO,1514805840000,300 BLOCK HARDING ST,LONG BEACH
VANDALISM,1514807220000,BIRD WY|JUNIPERO AV,LONG BEACH
LARCENY,1514810160000,100 BLOCK PINE AV,LONG BEACH
LARCENY,1514805300000,900 BLOCK TEMPLE AV,LONG BEACH
LARCENY,1514812080000,100 BLOCK WORLD TRADE CENTER,LONG BEACH
GRAND THEFT AUTO,1514808960000,1300 BLOCK OBISPO AV,LONG BEACH
LARCENY,1514813520000,5600 BLOCK E 7TH ST,LONG BEACH
BURGLARY,1514810100000,800 BLOCK REDONDO AV,LONG BEACH
LARCENY,1514816640000,1000 BLOCK LA DERA DR,LONG BEACH
NARCOTICS,1514816280000,W 6TH ST|SAN FRANCISCO AV,LONG BEACH
ASSAULT AGGRAVATED,1514815860000,LBB|E PCH,LONG BEACH
LARCENY,1514818200000,100 BLOCK E WILLOW ST,LONG BEACH
HIT & RUN,1514819580000,5800 BLOCK ROSE AV,LONG BEACH
NARCOTICS,1514820180000,1000 BLOCK PINE AV,LONG BEACH
ROBBERY,1514820600000,800 BLOCK OHIO AV,LONG BEACH
FRAUD,1514819700000,400 BLOCK W BROADWAY,LONG BEACH
HIT & RUN,1514818440000,E 25TH ST|ELM AV,LONG BEACH
DRUNKENNESS,1514822220000,1900 BLOCK XIMENO AV,LONG BEACH
ASSAULT AGGRAVATED,1514822880000,900 BLOCK RAYMOND AV,LONG BEACH
LARCENY,1514823120000,6700 BLOCK CHERRY AV,LONG BEACH
ROBBERY,1514825040000,E 63RD ST|ATLANTIC AV,LONG BEACH
ASSAULT SIMPLE,1514825880000,1100 BLOCK OHIO AV,LONG BEACH
ASSAULT AGGRAVATED,1514827140000,W PCH|COTA AV,LONG BEACH
ASSAULT SIMPLE,1514827500000,400 BLOCK SHORELINE VILLAGE DR,LONG BEACH
NARCOTICS,1514829360000,3800 BLOCK E OCEAN BL,LONG BEACH
DRIVING UNDER INFLUENCE,1514833200000,E ANAHEIM ST|ALAMITOS AV,LONG BEACH
VANDALISM,1514833260000,2700 BLOCK WEST AMERICAN AV,LONG BEACH
VANDALISM,1514826600000,3200 BLOCK E OCEAN BL,LONG BEACH
DRIVING UNDER INFLUENCE,1514835600000,W 7TH ST|PARK CT,LONG BEACH
DRIVING UNDER INFLUENCE,1514836320000,DAWSON AV|E 7TH ST,LONG BEACH
HIT & RUN,1514833680000,MARKER ST|ARTESIA LN,LONG BEACH
GRAND THEFT AUTO,1514838720000,1300 BLOCK PARK AV,LONG BEACH
WEAPONS VIOLATIONS,1514838420000,W PCH|SANTA FE AV,LONG BEACH
DISORDERLY CONDUCT,1514843100000,100 BLOCK E 1ST ST,LONG BEACH
LARCENY,1514836860000,5000 BLOCK E PCH,LONG BEACH
LARCENY,1514847120000,700 BLOCK E 15TH ST,LONG BEACH
LARCENY,1514844180000,6000 BLOCK LBB,LONG BEACH
HIT & RUN,1514845920000,1600 BLOCK STANLEY AV,LONG BEACH
DRIVING UNDER INFLUENCE,1514849100000,PINE AV|E PCH,LONG BEACH
ASSAULT SIMPLE,1514850300000,400 BLOCK BELLFLOWER BL,LONG BEACH
ASSAULT SIMPLE,1514849400000,400 BLOCK E 17TH ST,LONG BEACH
GRAND THEFT AUTO,1514842680000,6800 BLOCK CHERRY AV,LONG BEACH
LARCENY,1514851440000,1800 BLOCK XIMENO AV,LONG BEACH
OFFENSES AGAINST FAMILY,1514829120000,1700 BLOCK PARK AV,LONG BEACH
LARCENY,1514853960000,LBB|E OCEAN BL,LONG BEACH
ASSAULT SIMPLE,1514853900000,700 BLOCK ORANGE AV,LONG BEACH
VANDALISM,1514858820000,7800 BLOCK E SPRING ST,LONG BEACH
DRIVING UNDER INFLUENCE,1514858940000,4700 BLOCK AIRPORT PLAZA DR,LONG BEACH
VANDALISM,1514858820000,7800 BLOCK E SPRING ST,LONG BEACH
LARCENY,1514858820000,7800 BLOCK E SPRING ST,LONG BEACH
VANDALISM,1514866020000,1300 BLOCK ROSE AV,LONG BEACH
BURGLARY,1514862000000,700 BLOCK REDONDO AV,LONG BEACH
LARCENY,1514866020000,4400 BLOCK BANNER DR,LONG BEACH
BURGLARY,1514866260000,3700 BLOCK ORANGE AV,LONG BEACH
ASSAULT SIMPLE,1514869140000,E 8TH ST|ORIZABA AV,LONG BEACH
LARCENY,1514869320000,200 BLOCK MARINA DR,LONG BEACH
LARCENY,1514876820000,1400 BLOCK PACIFIC AV,LONG BEACH
ASSAULT SIMPLE,1514876040000,400 BLOCK E 55TH ST,LONG BEACH
BURGLARY,1514872740000,1400 BLOCK CLARK AV,LONG BEACH
LARCENY,1514879040000,VISTA ST|CORONADO AV,LONG BEACH
VANDALISM,1514876160000,600 BLOCK QUEENS WY DR,LONG BEACH
BURGLARY,1514881500000,1600 BLOCK E 32ND ST,LONG BEACH
GRAND THEFT AUTO,1514882820000,200 BLOCK CHESTNUT AV,LONG BEACH
LARCENY,1514873040000,600 BLOCK LINDEN AV,LONG BEACH
BURGLARY,1514883060000,2300 BLOCK E 7TH ST,LONG BEACH
HIT & RUN,1514882940000,1900 BLOCK POINSETTIA ST,LONG BEACH
HIT & RUN,1514884380000,GAVIOTA AV|E 17TH ST,LONG BEACH
ALL OTHER OFFENSES,1514881980000,1700 BLOCK LOCUST AV,LONG BEACH
GRAND THEFT AUTO,1514889000000,900 BLOCK MAINE AV,LONG BEACH
OFFENSES AGAINST FAMILY,1514884200000,1400 BLOCK ELM AV,LONG BEACH
FRAUD,1514888820000,LBB|E 3RD ST,LONG BEACH
GRAND THEFT AUTO,1514890320000,LBB E|W BARCLAY ST,LONG BEACH
LARCENY,1514889360000,2600 BLOCK E 56TH ST,LONG BEACH
ASSAULT AGGRAVATED,1514886480000,E 7TH ST|CHANNEL DR,LONG BEACH
LARCENY,1514889900000,1400 BLOCK ELM AV,LONG BEACH
LARCENY,1514890020000,2300 BLOCK KNOXVILLE AV,LONG BEACH
BURGLARY,1514888520000,3900 BLOCK GUNDRY AV,LONG BEACH
VANDALISM,1514890740000,1000 BLOCK CHESTNUT AV,LONG BEACH
LARCENY,1514891700000,300 BLOCK E SHORELINE DR,LONG BEACH
BURGLARY,1514889060000,1900 BLOCK LBB,LONG BEACH
LARCENY,1514890440000,4600 BLOCK ATLANTIC AV,LONG BEACH
HIT & RUN,1514893320000,4900 BLOCK LBB,LONG BEACH
LARCENY,1514893800000,1700 BLOCK E 8TH ST,LONG BEACH
ALL OTHER OFFENSES,1514893200000,500 BLOCK W 16TH ST,LONG BEACH
LARCENY,1514894400000,1300 BLOCK E PCH,LONG BEACH
GRAND THEFT AUTO,1514892660000,CLAREMORE AV|E SPRING ST,LONG BEACH
HIT & RUN,1514892960000,ATLANTIC AV|E 68TH ST,LONG BEACH
HIT & RUN,1514895060000,4900 BLOCK E CARSON ST,LONG BEACH
LARCENY,1514897460000,2200 BLOCK XIMENO AV,LONG BEACH
GRAND THEFT AUTO,1514904660000,E 49TH ST|LOCUST AV,LONG BEACH
LARCENY,1514899200000,500 BLOCK E 64TH ST,LONG BEACH
ASSAULT SIMPLE,1514900340000,6200 BLOCK E PCH,LONG BEACH
BURGLARY,1514900820000,1000 BLOCK E SAN ANTONIO DR,LONG BEACH
VANDALISM,1514902620000,2200 BLOCK EUCALYPTUS AV,LONG BEACH
LARCENY,1514903220000,1000 BLOCK ATLANTIC AV,LONG BEACH
LARCENY,1514903040000,W 19TH ST|CEDAR AV,LONG BEACH
ROBBERY,1514902560000,SMITH ST|ANDERSON AV,LONG BEACH
LARCENY,1514904660000,100 BLOCK E 4TH ST,LONG BEACH
LARCENY,1514901720000,3100 BLOCK PARK LN,LONG BEACH
LARCENY,1514906460000,5900 BLOCK DE FOREST AV,LONG BEACH
HIT & RUN,1514907060000,2000 BLOCK E ANAHEIM ST,LONG BEACH
LARCENY,1514908140000,E OCEAN BL|S LINDEN AV,LONG BEACH
LARCENY,1514908680000,300 BLOCK CORONADO AV,LONG BEACH
LARCENY,1514901180000,1700 BLOCK TERMINO AV,LONG BEACH
VANDALISM,1514904240000,1900 BLOCK XIMENO AV,LONG BEACH
LARCENY,1514910660000,2000 BLOCK OLIVE AV,LONG BEACH
LARCENY,1514912160000,100 BLOCK QUINCY AV,LONG BEACH
NARCOTICS,1514912100000,2600 BLOCK PACIFIC AV,LONG BEACH
GAMBLING,1514911320000,3300 BLOCK SOUTH ST,LONG BEACH
HIT & RUN,1514909880000,400 BLOCK PINE AV,LONG BEACH
BURGLARY,1514913300000,100 BLOCK CERRITOS AV,LONG BEACH
ROBBERY,1514915640000,1400 BLOCK ORIZABA AV,LONG BEACH
OFFENSES AGAINST FAMILY,1514917740000,100 BLOCK W ARBOR ST,LONG BEACH
HIT & RUN,1514918520000,ORANGE AV|WASHINGTON ST,LONG BEACH
ASSAULT SIMPLE,1514923380000,2800 BLOCK BELLFLOWER BL,LONG BEACH
LARCENY,1514925780000,800 BLOCK E OCEAN BL,LONG BEACH
BURGLARY,1514924400000,2500 BLOCK E OCEAN BL,LONG BEACH
VANDALISM,1514928120000,3700 BLOCK ATLANTIC AV,LONG BEACH
HIT & RUN,1514928960000,5100 BLOCK E PCH,LONG BEACH
DRIVING UNDER INFLUENCE,1514929320000,E SHORELINE DR|SHORELINE VILLAGE DR,LONG BEACH
HIT & RUN,1514928780000,E CARSON ST|CHERRY AV,LONG BEACH
ASSAULT SIMPLE,1514930460000,1600 BLOCK STANTON PL,LONG BEACH
GRAND THEFT AUTO,1514925060000,1500 BLOCK E 2ND ST,LONG BEACH
ASSAULT SIMPLE,1514932260000,1800 BLOCK PINE AV,LONG BEACH
ASSAULT SIMPLE,1514933460000,1400 BLOCK GAVIOTA AV,LONG BEACH
ASSAULT SIMPLE,1514929440000,400 BLOCK E 5TH ST,LONG BEACH
DRIVING UNDER INFLUENCE,1514935620000,5800 BLOCK CHERRY AV,LONG BEACH
LARCENY,1514939880000,2300 BLOCK MIRA MAR AV,LONG BEACH
ALL OTHER OFFENSES,1514936340000,SOUTH ST|DOWNEY AV,LONG BEACH
OFFENSES AGAINST FAMILY,1514942820000,2200 BLOCK BELMONT AV,LONG BEACH
GRAND THEFT AUTO,1514944800000,1000 BLOCK E 4TH ST,LONG BEACH
HIT & RUN,1514944800000,1000 BLOCK E 4TH ST,LONG BEACH
LARCENY,1514944800000,1000 BLOCK E 4TH ST,LONG BEACH
HIT & RUN,1514945100000,E OCEAN BL|65TH PL,LONG BEACH
ASSAULT AGGRAVATED,1514945040000,2700 BLOCK PACIFIC AV,LONG BEACH
HIT & RUN,1514946060000,PINE AV|W 20TH ST,LONG BEACH
ALL OTHER OFFENSES,1514946660000,4700 BLOCK AIRPORT PLAZA DR,LONG BEACH
ALL OTHER OFFENSES,1514951820000,1000 BLOCK E SAN ANTONIO DR,LONG BEACH
GRAND THEFT AUTO,1514956440000,1100 BLOCK NEW YORK ST,LONG BEACH
LARCENY,1514958360000,2400 BLOCK PASADENA AV,LONG BEACH
BURGLARY,1514961900000,400 BLOCK W 20TH ST,LONG BEACH
ASSAULT AGGRAVATED,1514964360000,4100 BLOCK VIKING WY,LONG BEACH
LARCENY,1514966520000,2500 BLOCK PASADENA AV,LONG BEACH
GRAND THEFT AUTO,1514965260000,LBB|W PLYMOUTH ST,LONG BEACH
HIT & RUN,1514965800000,E ARTESIA BL|BUTLER AV,LONG BEACH
GRAND THEFT AUTO,1514964000000,2300 BLOCK CASPIAN AV,LONG BEACH
GRAND THEFT AUTO,1514964060000,1300 BLOCK W 33RD ST,LONG BEACH
LARCENY,1514970120000,1000 BLOCK OHIO AV,LONG BEACH
LARCENY,1514970180000,STANLEY AV|E 10TH ST,LONG BEACH
VANDALISM,1514971200000,100 BLOCK ORANGE AV,LONG BEACH
VANDALISM,1514971620000,1600 BLOCK OBISPO AV,LONG BEACH
NARCOTICS,1514971200000,2700 BLOCK WEST AMERICAN AV,LONG BEACH
ALL OTHER OFFENSES,1514969580000,RIVER|W ANAHEIM ST,LONG BEACH
ASSAULT SIMPLE,1514971980000,1600 BLOCK APPLETON ST,LONG BEACH
LARCENY,1514973660000,2100 BLOCK SANTA FE AV,LONG BEACH
GRAND THEFT AUTO,1514973300000,1800 BLOCK HARBOR AV,LONG BEACH
ASSAULT SIMPLE,1514972100000,6200 BLOCK BUTLER AV,LONG BEACH
ALL OTHER OFFENSES,1514970180000,1000 BLOCK E OCEAN BL,LONG BEACH
VANDALISM,1514975160000,1700 BLOCK E 53RD ST,LONG BEACH
GRAND THEFT AUTO,1514973360000,5200 BLOCK E 2ND ST,LONG BEACH
ASSAULT SIMPLE,1514973900000,200 BLOCK NORTON ST,LONG BEACH
LARCENY,1514976600000,900 BLOCK LINDEN AV,LONG BEACH
LARCENY,1514976780000,1800 BLOCK E PCH,LONG BEACH
LARCENY,1514973540000,300 BLOCK ELEANOR LN,LONG BEACH
LARCENY,1514976960000,3700 BLOCK MAINE AV,LONG BEACH
LARCENY,1514976120000,100 BLOCK E WILLOW ST,LONG BEACH
ALL OTHER OFFENSES,1514975760000,500 BLOCK E 7TH ST,LONG BEACH
VANDALISM,1514977320000,E PCH|LBB,LONG BEACH
VANDALISM,1514978700000,2700 BLOCK BELLFLOWER BL,LONG BEACH
LARCENY,1514979780000,600 BLOCK PINE AV,LONG BEACH
ALL OTHER OFFENSES,1514978400000,E WILLOW ST|LBB,LONG BEACH
ASSAULT SIMPLE,1514977860000,5500 BLOCK OLIVE AV,LONG BEACH
ASSAULT AGGRAVATED,1514977020000,1300 BLOCK W ESTHER ST,LONG BEACH
HIT & RUN,1514977800000,W WILLOW ST|OREGON AV,LONG BEACH
VANDALISM,1514982420000,400 BLOCK SUNSET ST,LONG BEACH
VANDALISM,1514982540000,6100 BLOCK WALNUT AV,LONG BEACH
ASSAULT SIMPLE,1514980680000,2300 BLOCK E MARKET ST,LONG BEACH
LARCENY,1514983500000,100 BLOCK PINE AV,LONG BEACH
LARCENY,1514984040000,CHERRY AV|E ANAHEIM ST,LONG BEACH
LARCENY,1514985780000,3700 BLOCK E WILLOW ST,LONG BEACH
LARCENY,1514986080000,200 BLOCK PINE AV,LONG BEACH
LARCENY,1514980260000,3400 BLOCK CHERRY AV,LONG BEACH
LARCENY,1514988000000,3100 BLOCK E BROADWAY,LONG BEACH
FRAUD,1514988120000,100 BLOCK E SPRING ST,LONG BEACH
LARCENY,1514989380000,200 BLOCK LOWENA DR,LONG BEACH
ASSAULT SIMPLE,1514988000000,300 BLOCK LINDEN AV,LONG BEACH
LARCENY,1514985300000,3900 BLOCK VIRGINIA RD,LONG BEACH
VANDALISM,1514989980000,500 BLOCK E OCEAN BL,LONG BEACH
HIT & RUN,1514989440000,400 BLOCK W OCEAN BL,LONG BEACH
HIT & RUN,1514987460000,4100 BLOCK E WILLOW ST,LONG BEACH
LARCENY,1514990280000,100 BLOCK PARK AV,LONG BEACH
HIT & RUN,1514974860000,E BROADWAY|TERMINO AV,LONG BEACH
HIT & RUN,1514991300000,ORIZABA AV|E 17TH ST,LONG BEACH
LARCENY,1514992440000,PINE AV|E BROADWAY,LONG BEACH
NARCOTICS,1514991300000,1700 BLOCK LINDEN AV,LONG BEACH
FRAUD,1514992440000,300 BLOCK ORANGE AV,LONG BEACH
VANDALISM,1514991300000,800 BLOCK REDONDO AV,LONG BEACH
VANDALISM,1514990100000,1000 BLOCK OBISPO AV,LONG BEACH
LARCENY,1514985360000,6900 BLOCK WHITE AV,LONG BEACH
ASSAULT SIMPLE,1514993280000,1200 BLOCK PINE AV,LONG BEACH
HIT & RUN,1514995140000,SOUTH ST|CHERRY AV,LONG BEACH
GRAND THEFT AUTO,1514993700000,500 BLOCK W 15TH ST,LONG BEACH
ROBBERY,1514993520000,200 BLOCK SOUTH ST,LONG BEACH
HIT & RUN,1514997360000,GRAND AV|E WILLOW ST,LONG BEACH
ALL OTHER OFFENSES,1514997180000,2800 BLOCK ATLANTIC AV,LONG BEACH
LARCENY,1514986380000,3300 BLOCK SOUTH ST,LONG BEACH
GRAND THEFT AUTO,1515000360000,1300 BLOCK COWLES ST,LONG BEACH
ASSAULT SIMPLE,1514997180000,800 BLOCK CORONADO AV,LONG BEACH
VANDALISM,1514998560000,5100 BLOCK ATLANTIC AV,LONG BEACH
NARCOTICS,1514998500000,1200 BLOCK W 17TH ST,LONG BEACH
BURGLARY,1514998200000,500 BLOCK E WILLOW ST,LONG BEACH
GRAND THEFT AUTO,1514999940000,3200 BLOCK E ANAHEIM ST,LONG BEACH
VANDALISM,1515000240000,1500 BLOCK LOCUST AV,LONG BEACH
LARCENY,1515002760000,GAVIOTA AV|E 14TH ST,LONG BEACH
BURGLARY,1515001260000,300 BLOCK E 4TH ST,LONG BEACH
NARCOTICS,1515002100000,1200 BLOCK LBB,LONG BEACH
FRAUD,1515000060000,400 BLOCK W BROADWAY,LONG BEACH
VANDALISM,1515003000000,1900 BLOCK PASADENA AV,LONG BEACH
GRAND THEFT AUTO,1515000240000,E 11TH ST|MAHANNA AV,LONG BEACH
NARCOTICS,1515004080000,W 49TH ST|LBB,LONG BEACH
DRUNKENNESS,1515006600000,400 BLOCK E 5TH ST,LONG BEACH
ASSAULT SIMPLE,1515005880000,1100 BLOCK E CARSON ST,LONG BEACH
GRAND THEFT AUTO,1515007800000,1400 BLOCK E 17TH ST,LONG BEACH
ASSAULT AGGRAVATED,1515008580000,5400 BLOCK CENTRALIA ST,LONG BEACH
NARCOTICS,1515008340000,2200 BLOCK E 14TH ST,LONG BEACH
ROBBERY,1515009840000,2600 BLOCK BELLFLOWER BL,LONG BEACH
ASSAULT SIMPLE,1515011880000,200 BLOCK ELLIS ST,LONG BEACH
LARCENY,1515012060000,6700 BLOCK CHERRY AV,LONG BEACH
DRIVING UNDER INFLUENCE,1515013020000,200 BLOCK ST JOSEPH AV,LONG BEACH
ASSAULT SIMPLE,1515012420000,400 BLOCK E MARKET ST,LONG BEACH
ROBBERY,1515013920000,4400 BLOCK E 7TH ST,LONG BEACH
ASSAULT AGGRAVATED,1515003660000,4300 BLOCK KEEVER AV,LONG BEACH
DRUNKENNESS,1515015780000,3400 BLOCK PACIFIC PL,LONG BEACH
LARCENY,1515018240000,5900 BLOCK LEMON AV,LONG BEACH
ASSAULT SIMPLE,1515019860000,100 BLOCK E SPRING ST,LONG BEACH
OFFENSES AGAINST FAMILY,1515018840000,700 BLOCK E 7TH ST,LONG BEACH
HIT & RUN,1515018660000,1000 BLOCK LBB,LONG BEACH
NARCOTICS,1515025740000,E 7TH ST|ATLANTIC AV,LONG BEACH
NARCOTICS,1515027660000,W 16TH ST|MAGNOLIA AV,LONG BEACH
ALL OTHER OFFENSES,1515029760000,800 BLOCK E OCEAN BL,LONG BEACH
HIT & RUN,1515029160000,100 BLOCK NIETO AV,LONG BEACH
NARCOTICS,1515036360000,CHERRY AV|E 8TH ST,LONG BEACH
HIT & RUN,1515041160000,CURRY ST|GARDENIA AV,LONG BEACH
BURGLARY,1515041340000,500 BLOCK MAGNOLIA AV,LONG BEACH
DRUNKENNESS,1515050160000,1700 BLOCK CHESTNUT AV,LONG BEACH
LARCENY,1515051000000,3200 BLOCK E ANAHEIM ST,LONG BEACH
LARCENY,1515054000000,PINE AV|E 6TH ST,LONG BEACH
BURGLARY,1515052800000,600 BLOCK E 4TH ST,LONG BEACH
LARCENY,1515052680000,1700 BLOCK STANTON PL,LONG BEACH
FRAUD,1515055140000,400 BLOCK DAISY AV,LONG BEACH
LARCENY,1515055380000,E 64TH ST|CERRITOS AV,LONG BEACH
HIT & RUN,1515051960000,ATLANTIC AV|E ARTESIA BL,LONG BEACH
NARCOTICS,1515054960000,E OCEAN BL|BENNETT AV,LONG BEACH
LARCENY,1515049800000,2700 BLOCK E 3RD ST,LONG BEACH
LARCENY,1515056400000,5300 BLOCK HARVEY WY,LONG BEACH
BURGLARY,1515052620000,6500 BLOCK MARINA DR,LONG BEACH
LARCENY,1515054540000,100 BLOCK LIME AV,LONG BEACH
VANDALISM,1515057780000,E 7TH ST|ALMOND AV,LONG BEACH
BURGLARY,1515054720000,100 BLOCK CHESTNUT PL,LONG BEACH
ASSAULT SIMPLE,1515062400000,1000 BLOCK E PCH,LONG BEACH
VANDALISM,1515064020000,3700 BLOCK LIVINGSTON DR,LONG BEACH
LARCENY,1515064800000,1700 BLOCK E ANAHEIM ST,LONG BEACH
LARCENY,1515066480000,100 BLOCK ALLINGTON ST,LONG BEACH
FRAUD,1515066900000,2000 BLOCK MAINE AV,LONG BEACH
BURGLARY,1515061500000,400 BLOCK W 6TH ST,LONG BEACH
LARCENY,1515067020000,100 BLOCK PINE AV,LONG BEACH
ASSAULT SIMPLE,1515066360000,2700 BLOCK WEST AMERICAN AV,LONG BEACH
HIT & RUN,1515063060000,91 FY|ATLANTIC AV,LONG BEACH
ROBBERY,1515069060000,600 BLOCK W 5TH ST,LONG BEACH
LARCENY,1515070620000,1000 BLOCK EUCLID AV,LONG BEACH
LARCENY,1515071460000,2500 BLOCK E ANAHEIM ST,LONG BEACH
ALL OTHER OFFENSES,1515071340000,6500 BLOCK E PCH,LONG BEACH
FRAUD,1515070140000,6300 BLOCK MYRTLE AV,LONG BEACH
LARCENY,1515072780000,700 BLOCK EUCLID AV,LONG BEACH
GRAND THEFT AUTO,1515076260000,1800 BLOCK APPLETON ST,LONG BEACH
DRUNKENNESS,1515074580000,STUDEBAKER RD|E SPRING ST,LONG BEACH
LARCENY,1515076740000,3500 BLOCK E 6TH ST,LONG BEACH
LARCENY,1515077160000,7500 BLOCK CARSON BL,LONG BEACH
HIT & RUN,1515074820000,REDONDO AV|E ANAHEIM ST,LONG BEACH
LARCENY,1515077160000,200 BLOCK CORONA AV,LONG BEACH
LARCENY,1515076140000,2000 BLOCK E 10TH ST,LONG BEACH
NARCOTICS,1515079140000,5100 BLOCK COLORADO ST,LONG BEACH
ROBBERY,1515082140000,100 BLOCK W OCEAN BL,LONG BEACH
BURGLARY,1515080940000,6900 BLOCK DOWNEY AV,LONG BEACH
VANDALISM,1515085020000,4100 BLOCK VIRGINIA RD,LONG BEACH
GRAND THEFT AUTO,1515080580000,100 BLOCK ELLIS ST,LONG BEACH
BURGLARY,1515083520000,4500 BLOCK DE ORA WY,LONG BEACH
ALL OTHER OFFENSES,1515085140000,HARDING ST|ATLANTIC AV,LONG BEACH
ASSAULT SIMPLE,1515083280000,ATLANTIC AV|E ANAHEIM ST,LONG BEACH
HIT & RUN,1515086400000,710 FY|W OCEAN BL,LONG BEACH
ASSAULT AGGRAVATED,1515087360000,3500 BLOCK ATLANTIC AV,LONG BEACH
FRAUD,1515090660000,500 BLOCK WALNUT AV,LONG BEACH
DRUNKENNESS,1515089640000,2100 BLOCK MAGNOLIA AV,LONG BEACH
HIT & RUN,1515090780000,XIMENO AV|E ANAHEIM ST,LONG BEACH
VANDALISM,1515092220000,6300 BLOCK E PCH,LONG BEACH
GRAND THEFT AUTO,1515090900000,W 20TH ST|CHESTNUT AV,LONG BEACH
LARCENY,1515090600000,1600 BLOCK E ARTESIA BL,LONG BEACH
NARCOTICS,1515090900000,MAGNOLIA AV|W 3RD ST,LONG BEACH
ROBBERY,1515095040000,5000 BLOCK LBB,LONG BEACH
NARCOTICS,1515092940000,1000 BLOCK E PCH,LONG BEACH
NARCOTICS,1515094980000,1300 BLOCK E 14TH ST,LONG BEACH
DRIVING UNDER INFLUENCE,1515097740000,E WILLOW ST|KNOXVILLE AV,LONG BEACH
ASSAULT SIMPLE,1515100320000,E 4TH ST|LIME AV,LONG BEACH
NARCOTICS,1515100560000,MLK AV|E 15TH ST,LONG BEACH
OFFENSES AGAINST FAMILY,1515098760000,1300 BLOCK RAYMOND AV,LONG BEACH
HIT & RUN,1515099180000,PACIFIC PL|W WARDLOW RD,LONG BEACH
DRUNKENNESS,1515101280000,100 BLOCK PALOMA AV,LONG BEACH
LARCENY,1515103080000,100 BLOCK AQUARIUM WY,LONG BEACH
ASSAULT SIMPLE,1515103260000,1000 BLOCK LINDEN AV,LONG BEACH
ASSAULT AGGRAVATED,1515104040000,3300 BLOCK E 67TH ST,LONG BEACH
DRIVING UNDER INFLUENCE,1515105960000,WOODRUFF AV|E CARSON ST,LONG BEACH
ASSAULT SIMPLE,1515107520000,1000 BLOCK E ARTESIA BL,LONG BEACH
VANDALISM,1515109680000,6000 BLOCK LBB,LONG BEACH
ALL OTHER OFFENSES,1515107880000,E ANAHEIM ST|GARDENIA AV,LONG BEACH
NARCOTICS,1515111180000,W PCH|MAGNOLIA AV,LONG BEACH
DRUNKENNESS,1515111300000,5500 BLOCK E 2ND ST,LONG BEACH
HIT & RUN,1515110880000,6100 BLOCK LBB,LONG BEACH
ALL OTHER OFFENSES,1515113520000,2600 BLOCK LAKEWOOD BL,LONG BEACH
DRIVING UNDER INFLUENCE,1515116280000,E WILLOW ST|ATLANTIC AV,LONG BEACH
ASSAULT SIMPLE,1515118920000,1200 BLOCK WERNER ST,LONG BEACH
ASSAULT SIMPLE,1515119220000,600 BLOCK ATLANTIC AV,LONG BEACH
HIT & RUN,1515120360000,1700 BLOCK LEWIS AV,LONG BEACH
ASSAULT AGGRAVATED,1515121440000,1200 BLOCK WERNER ST,LONG BEACH
BURGLARY,1515120660000,1100 BLOCK DAWSON AV,LONG BEACH
ROBBERY,1515129420000,100 BLOCK E ANAHEIM ST,LONG BEACH
GRAND THEFT AUTO,1515135240000,100 BLOCK NORTON ST,LONG BEACH
LARCENY,1514801760000,600 BLOCK E BROADWAY,LONG BEACH
HIT & RUN,1514809140000,E 7TH ST|ROSWELL AV,LONG BEACH
HIT & RUN,1514817060000,1500 BLOCK FLORIDA ST,LONG BEACH
LARCENY,1514825100000,200 BLOCK GLENDORA AV,LONG BEACH
LARCENY,1514889480000,200 BLOCK AQUARIUM WY,LONG BEACH
LARCENY,1514916660000,1000 BLOCK ATLANTIC AV,LONG BEACH
LARCENY,1514977200000,200 BLOCK REDONDO AV,LONG BEACH
LARCENY,1514977980000,3700 BLOCK LBB,LONG BEACH
LARCENY,1514998440000,5100 BLOCK VISTA ST,LONG BEACH
LARCENY,1515001800000,3700 BLOCK E 11TH ST,LONG BEACH
LARCENY,1515017220000,4400 BLOCK VILLAGE RD,LONG BEACH
LARCENY,1515020520000,E ANAHEIM ST|WALNUT AV,LONG BEACH
LARCENY,1515033120000,1300 BLOCK E 7TH ST,LONG BEACH
LARCENY,1515058380000,AQUARIUM WY|W SHORELINE DR,LONG BEACH
LARCENY,1515094680000,1100 BLOCK E BROADWAY,LONG BEACH
LARCENY,1515104280000,100 BLOCK S PINE AV,LONG BEACH
